Description	ID	tita	tlon	tcan	tusa	dmag	dpul	afra	ocin	tcas	lart	lubb	lapu	lcou	etex
NA	OG0000334	6	6	11	6	0	0	0	0	0	2	2	6	5	0
NA	OG0000335	0	0	0	0	0	0	0	0	0	9	18	10	7	0
NA	OG0000336	2	1	3	2	2	2	2	2	15	1	2	2	4	3
NA	OG0000337	1	1	1	1	7	12	1	4	7	1	1	1	1	4
NA	OG0000338	1	1	2	1	5	11	1	2	3	1	2	1	2	10
NA	OG0000339	3	3	3	3	3	3	2	3	2	3	4	4	3	4
NA	OG0000340	7	3	5	5	2	3	5	1	1	4	1	2	2	2
NA	OG0000341	1	1	1	1	2	1	1	9	11	1	1	1	1	11
NA	OG0000342	5	1	4	2	3	3	2	3	11	1	1	1	1	5
NA	OG0000343	4	3	3	3	5	7	1	3	0	5	2	2	2	3
NA	OG0000344	1	1	1	1	1	1	2	1	18	1	1	1	1	12
NA	OG0000345	3	2	2	3	5	4	1	3	3	2	4	4	2	5
NA	OG0000346	2	2	1	2	5	12	3	6	2	2	0	1	2	3
NA	OG0000347	2	2	3	3	8	13	4	0	0	1	1	1	1	4
NA	OG0000348	3	3	3	3	2	4	3	5	9	1	1	1	1	4
NA	OG0000349	1	1	2	2	4	5	3	4	6	3	2	4	3	3
NA	OG0000350	0	0	0	0	12	31	0	0	0	0	0	0	0	0
NA	OG0000351	0	0	1	7	8	3	0	2	0	3	5	4	1	9
NA	OG0000352	2	1	3	2	1	2	0	2	14	1	1	1	1	12
NA	OG0000354	5	3	3	3	1	3	0	10	3	1	3	2	4	2
NA	OG0000355	0	0	0	0	14	29	0	0	0	0	0	0	0	0
NA	OG0000356	0	0	0	0	2	39	0	2	0	0	0	0	0	0
NA	OG0000359	5	0	12	3	0	0	0	0	0	1	16	3	3	0
NA	OG0000360	20	0	8	0	0	0	0	0	0	3	6	5	1	0
NA	OG0000362	2	2	1	1	2	2	5	3	4	3	2	3	3	9
NA	OG0000363	3	2	1	1	3	4	2	9	5	2	1	1	1	7
NA	OG0000364	3	2	2	4	3	3	2	3	7	2	2	2	2	5
NA	OG0000365	3	2	2	2	1	2	8	3	2	2	2	2	7	4
NA	OG0000366	5	4	3	4	0	0	2	0	0	7	6	5	3	3
NA	OG0000367	0	0	0	0	6	7	2	19	0	0	0	0	0	8
NA	OG0000368	2	3	3	2	4	3	6	0	1	2	5	5	2	4
NA	OG0000369	5	2	3	2	3	2	2	4	4	2	2	2	5	4
NA	OG0000370	2	1	3	2	1	1	2	1	16	1	1	1	1	9
NA	OG0000371	3	3	3	3	2	2	3	1	4	3	3	3	3	6
NA	OG0000372	6	2	2	2	1	1	2	3	8	1	4	2	3	5
NA	OG0000373	3	1	3	3	1	1	2	9	4	2	4	3	3	3
NA	OG0000374	2	2	2	2	5	8	4	3	3	2	1	5	1	2
NA	OG0000375	3	2	2	2	3	3	2	3	6	2	3	3	3	5
NA	OG0000376	0	2	3	2	3	6	3	3	10	1	1	1	3	4
NA	OG0000377	3	1	2	1	2	1	1	1	23	1	1	1	2	2
NA	OG0000378	6	3	6	6	2	2	1	1	1	3	3	3	3	2
NA	OG0000379	0	0	0	0	31	10	0	1	0	0	0	0	0	0
NA	OG0000380	0	0	0	0	11	31	0	0	0	0	0	0	0	0
NA	OG0000381	1	0	1	0	18	15	0	0	1	0	0	0	3	3
NA	OG0000385	7	3	7	7	0	0	0	0	0	5	2	6	4	1
NA	OG0000386	2	1	2	2	0	0	0	21	1	1	2	3	6	1
NA	OG0000387	0	0	2	13	0	0	0	0	0	8	1	1	17	0
NA	OG0000388	13	0	3	2	0	0	0	0	0	7	11	5	1	0
NA	OG0000390	3	2	3	3	3	5	1	4	6	1	1	2	2	5
NA	OG0000391	1	1	1	1	7	7	2	3	3	2	2	2	2	7
NA	OG0000392	4	2	5	4	2	2	2	2	7	2	3	2	2	2
NA	OG0000393	5	7	3	3	2	2	3	2	5	1	3	1	2	2
NA	OG0000394	2	2	2	2	3	4	2	1	1	3	3	5	3	8
NA	OG0000395	3	1	1	1	2	4	7	7	3	1	3	1	5	2
NA	OG0000396	3	2	2	2	4	2	1	9	1	2	2	2	2	7
NA	OG0000397	2	2	2	2	5	5	3	2	1	2	2	2	2	9
NA	OG0000398	2	2	3	2	2	2	2	2	13	1	2	2	2	4
NA	OG0000399	1	1	1	1	3	3	4	11	4	2	3	2	3	2
NA	OG0000400	2	1	4	3	3	4	3	6	2	2	2	1	2	6
NA	OG0000401	2	3	3	3	3	3	1	4	4	3	3	1	2	6
NA	OG0000402	4	2	3	3	3	5	3	1	2	1	9	1	0	4
NA	OG0000403	2	2	2	2	3	3	2	6	3	2	3	2	2	7
NA	OG0000404	3	2	4	4	3	3	4	3	6	1	1	1	1	5
NA	OG0000405	2	3	3	3	2	3	2	4	7	1	1	1	2	7
NA	OG0000406	1	1	2	2	3	2	0	1	3	3	5	6	4	8
NA	OG0000409	2	2	2	2	2	2	2	2	9	2	2	2	2	7
NA	OG0000410	5	3	4	4	3	3	1	6	2	1	1	1	2	4
NA	OG0000411	4	1	2	2	3	2	10	2	1	1	3	1	5	3
NA	OG0000412	3	2	3	3	3	3	3	3	3	2	2	2	2	6
NA	OG0000413	0	0	2	1	1	2	1	0	25	1	1	0	1	5
NA	OG0000414	1	1	1	1	1	1	2	1	15	0	1	1	1	13
NA	OG0000415	2	2	2	2	2	5	2	3	2	3	5	6	3	1
NA	OG0000416	4	1	5	3	3	4	3	3	8	1	1	1	0	3
NA	OG0000417	9	0	0	1	10	5	2	0	1	1	7	2	2	0
NA	OG0000418	3	3	3	3	3	3	0	4	3	2	2	2	4	5
NA	OG0000419	6	5	4	4	0	0	0	0	0	5	6	5	3	2
NA	OG0000420	9	0	5	1	0	0	0	0	0	5	7	11	2	0
NA	OG0000421	4	4	5	4	0	0	0	0	0	2	9	8	4	0
